#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,flight_id,status
,1285,1285,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T02:22:20Z,34,cleaning,operation_data,IB3288,delayed
,1286,1286,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T23:29:20Z,21,fueling,operation_data,IB3288,on-time
,1287,1287,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T08:48:20Z,49,baggage,operation_data,IB3288,on-time
,1288,1288,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T23:03:20Z,16,catering,operation_data,IB3288,on-time
,1289,1289,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T19:10:20Z,29,boarding,operation_data,IB3288,delayed
,1290,1290,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:34:20Z,28,disembark,operation_data,IB4083,on-time
,1291,1291,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T13:27:20Z,46,cleaning,operation_data,IB4083,on-time
,1292,1292,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T23:49:20Z,41,fueling,operation_data,IB4083,delayed
,1293,1293,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T17:40:20Z,30,baggage,operation_data,IB4083,on-time
,1294,1294,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T05:58:20Z,7,catering,operation_data,IB4083,on-time
,1295,1295,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T14:50:20Z,29,boarding,operation_data,IB4083,on-time
,1296,1296,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T15:39:20Z,48,disembark,operation_data,IB4131,on-time
,1297,1297,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T06:35:20Z,41,cleaning,operation_data,IB4131,on-time
,1298,1298,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T05:50:20Z,11,fueling,operation_data,IB4131,on-time
,1299,1299,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T05:54:20Z,6,baggage,operation_data,IB4131,delayed
,1300,1300,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T11:20:20Z,39,catering,operation_data,IB4131,on-time
,1301,1301,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T10:30:20Z,22,boarding,operation_data,IB4131,on-time
,1302,1302,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T14:05:20Z,41,disembark,operation_data,IB4969,on-time
,1303,1303,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T21:48:20Z,36,cleaning,operation_data,IB4969,on-time
,1304,1304,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T18:42:20Z,27,fueling,operation_data,IB4969,delayed
,1305,1305,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T22:31:20Z,48,baggage,operation_data,IB4969,delayed
,1306,1306,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T18:58:20Z,44,catering,operation_data,IB4969,delayed
,1307,1307,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T00:40:20Z,15,boarding,operation_data,IB4969,on-time
,1308,1308,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T06:05:20Z,32,disembark,operation_data,IB4717,on-time
,1309,1309,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T20:32:20Z,44,cleaning,operation_data,IB4717,delayed
,1310,1310,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T22:21:20Z,30,fueling,operation_data,IB4717,on-time
,1311,1311,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T00:42:20Z,34,baggage,operation_data,IB4717,on-time
,1312,1312,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T08:28:20Z,36,catering,operation_data,IB4717,delayed
,1313,1313,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T08:44:20Z,24,boarding,operation_data,IB4717,on-time
,1314,1314,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T02:52:20Z,36,disembark,operation_data,IB6742,on-time
,1315,1315,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T09:39:20Z,48,cleaning,operation_data,IB6742,delayed
,1316,1316,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T17:11:20Z,50,fueling,operation_data,IB6742,on-time
,1317,1317,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T23:35:20Z,13,baggage,operation_data,IB6742,on-time
,1318,1318,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:22:20Z,26,catering,operation_data,IB6742,on-time
,1319,1319,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T03:50:20Z,5,boarding,operation_data,IB6742,on-time
,1320,1320,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T16:12:20Z,19,disembark,operation_data,IB9755,on-time
,1321,1321,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:01:20Z,21,cleaning,operation_data,IB9755,on-time
,1322,1322,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T17:13:20Z,40,fueling,operation_data,IB9755,on-time
,1323,1323,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:28:20Z,38,baggage,operation_data,IB9755,on-time
,1324,1324,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T04:14:20Z,46,catering,operation_data,IB9755,on-time
,1325,1325,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T15:52:20Z,35,boarding,operation_data,IB9755,delayed
,1326,1326,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T10:48:20Z,21,disembark,operation_data,IB2519,on-time
,1327,1327,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T15:00:20Z,40,cleaning,operation_data,IB2519,on-time
,1328,1328,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T09:45:20Z,44,fueling,operation_data,IB2519,on-time
,1329,1329,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T10:31:20Z,18,baggage,operation_data,IB2519,on-time
,1330,1330,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T20:40:20Z,46,catering,operation_data,IB2519,on-time
,1331,1331,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T10:49:20Z,50,boarding,operation_data,IB2519,on-time
,1332,1332,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T05:10:20Z,23,disembark,operation_data,IB9853,delayed
,1333,1333,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T02:55:20Z,49,cleaning,operation_data,IB9853,on-time
,1334,1334,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T20:49:20Z,28,fueling,operation_data,IB9853,delayed
,1335,1335,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T15:57:20Z,25,baggage,operation_data,IB9853,delayed
,1336,1336,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T06:40:20Z,44,catering,operation_data,IB9853,on-time
,1337,1337,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:07:20Z,26,boarding,operation_data,IB9853,on-time
,1338,1338,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T08:31:20Z,29,disembark,operation_data,IB1934,on-time
,1339,1339,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T14:32:20Z,31,cleaning,operation_data,IB1934,delayed
,1340,1340,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T11:07:20Z,25,fueling,operation_data,IB1934,on-time
,1341,1341,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T09:38:20Z,48,baggage,operation_data,IB1934,on-time
,1342,1342,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T06:12:20Z,33,catering,operation_data,IB1934,on-time
,1343,1343,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T17:32:20Z,37,boarding,operation_data,IB1934,on-time
,1344,1344,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T16:57:20Z,49,disembark,operation_data,IB1087,delayed
,1345,1345,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T03:24:20Z,47,cleaning,operation_data,IB1087,delayed
,1346,1346,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T16:19:20Z,5,fueling,operation_data,IB1087,on-time
,1347,1347,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T07:38:20Z,36,baggage,operation_data,IB1087,on-time
,1348,1348,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T06:44:20Z,25,catering,operation_data,IB1087,delayed
,1349,1349,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T18:53:20Z,22,boarding,operation_data,IB1087,on-time
,1350,1350,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T16:10:20Z,6,disembark,operation_data,IB9204,on-time
,1351,1351,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T05:49:20Z,23,cleaning,operation_data,IB9204,delayed
,1352,1352,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T16:02:20Z,41,fueling,operation_data,IB9204,on-time
,1353,1353,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T07:59:20Z,6,baggage,operation_data,IB9204,on-time
,1354,1354,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T08:27:20Z,23,catering,operation_data,IB9204,on-time
,1355,1355,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T22:36:20Z,19,boarding,operation_data,IB9204,on-time
,1356,1356,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T02:36:20Z,20,disembark,operation_data,IB1569,on-time
,1357,1357,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T17:49:20Z,34,cleaning,operation_data,IB1569,on-time
,1358,1358,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T04:57:20Z,15,fueling,operation_data,IB1569,on-time
,1359,1359,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T05:46:20Z,35,baggage,operation_data,IB1569,on-time
,1360,1360,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T05:45:20Z,7,catering,operation_data,IB1569,on-time
,1361,1361,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T18:23:20Z,13,boarding,operation_data,IB1569,on-time
,1362,1362,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T09:51:20Z,10,disembark,operation_data,IB7789,on-time
,1363,1363,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T06:38:20Z,5,cleaning,operation_data,IB7789,delayed
,1364,1364,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T16:15:20Z,19,fueling,operation_data,IB7789,on-time
,1365,1365,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T23:53:20Z,12,baggage,operation_data,IB7789,on-time
,1366,1366,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:45:20Z,32,catering,operation_data,IB7789,on-time
,1367,1367,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T11:06:20Z,37,boarding,operation_data,IB7789,on-time
,1368,1368,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:03:20Z,46,disembark,operation_data,IB2745,on-time
,1369,1369,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T08:21:20Z,29,cleaning,operation_data,IB2745,on-time
,1370,1370,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T13:44:20Z,7,fueling,operation_data,IB2745,delayed
,1371,1371,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T22:15:20Z,10,baggage,operation_data,IB2745,on-time
,1372,1372,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T14:53:20Z,16,catering,operation_data,IB2745,on-time
,1373,1373,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T02:04:20Z,28,boarding,operation_data,IB2745,on-time
,1374,1374,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T17:06:20Z,13,disembark,operation_data,IB5264,on-time
,1375,1375,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T17:10:20Z,10,cleaning,operation_data,IB5264,on-time
,1376,1376,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T21:47:20Z,36,fueling,operation_data,IB5264,on-time
,1377,1377,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T15:39:20Z,26,baggage,operation_data,IB5264,on-time
,1378,1378,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T17:38:20Z,21,catering,operation_data,IB5264,on-time
,1379,1379,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T09:39:20Z,17,boarding,operation_data,IB5264,on-time
,1380,1380,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:35:20Z,38,disembark,operation_data,IB7730,on-time
,1381,1381,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T13:32:20Z,8,cleaning,operation_data,IB7730,on-time
,1382,1382,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T23:41:20Z,26,fueling,operation_data,IB7730,on-time
,1383,1383,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T00:12:20Z,17,baggage,operation_data,IB7730,on-time
,1384,1384,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T23:53:20Z,13,catering,operation_data,IB7730,on-time
,1385,1385,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T20:04:20Z,28,boarding,operation_data,IB7730,delayed
,1386,1386,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T09:57:20Z,45,disembark,operation_data,IB8687,on-time
,1387,1387,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T09:15:20Z,44,cleaning,operation_data,IB8687,on-time
,1388,1388,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T23:54:20Z,50,fueling,operation_data,IB8687,on-time
,1389,1389,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T05:40:20Z,47,baggage,operation_data,IB8687,delayed
,1390,1390,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T18:38:20Z,16,catering,operation_data,IB8687,delayed
,1391,1391,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:13:20Z,40,boarding,operation_data,IB8687,on-time
,1392,1392,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T16:55:20Z,22,disembark,operation_data,IB4934,on-time
,1393,1393,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T03:32:20Z,15,cleaning,operation_data,IB4934,on-time
,1394,1394,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T10:10:20Z,21,fueling,operation_data,IB4934,on-time
,1395,1395,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T16:04:20Z,21,baggage,operation_data,IB4934,on-time
,1396,1396,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T18:24:20Z,5,catering,operation_data,IB4934,on-time
,1397,1397,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:36:20Z,17,boarding,operation_data,IB4934,delayed
,1398,1398,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T23:38:20Z,45,disembark,operation_data,IB3206,on-time
,1399,1399,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T15:04:20Z,31,cleaning,operation_data,IB3206,on-time
,1400,1400,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T11:49:20Z,9,fueling,operation_data,IB3206,on-time
,1401,1401,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T19:23:20Z,31,baggage,operation_data,IB3206,on-time
,1402,1402,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T07:56:20Z,30,catering,operation_data,IB3206,on-time
,1403,1403,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T00:48:20Z,17,boarding,operation_data,IB3206,on-time
,1404,1404,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T14:32:20Z,41,disembark,operation_data,IB5120,on-time
,1405,1405,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T09:42:20Z,15,cleaning,operation_data,IB5120,on-time
,1406,1406,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T19:00:20Z,44,fueling,operation_data,IB5120,on-time
,1407,1407,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T20:36:20Z,26,baggage,operation_data,IB5120,on-time
,1408,1408,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T16:57:20Z,26,catering,operation_data,IB5120,on-time
,1409,1409,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T00:59:20Z,16,boarding,operation_data,IB5120,on-time
,1410,1410,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T19:54:20Z,31,disembark,operation_data,IB2884,delayed
,1411,1411,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:43:20Z,43,cleaning,operation_data,IB2884,delayed
,1412,1412,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T03:21:20Z,33,fueling,operation_data,IB2884,on-time
,1413,1413,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T20:05:20Z,22,baggage,operation_data,IB2884,on-time
,1414,1414,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T04:27:20Z,41,catering,operation_data,IB2884,on-time
,1415,1415,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T02:35:20Z,41,boarding,operation_data,IB2884,on-time
,1416,1416,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T04:45:20Z,18,disembark,operation_data,IB2201,on-time
,1417,1417,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T07:38:20Z,31,cleaning,operation_data,IB2201,delayed
,1418,1418,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T08:20:20Z,38,fueling,operation_data,IB2201,delayed
,1419,1419,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T04:54:20Z,9,baggage,operation_data,IB2201,on-time
,1420,1420,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T08:02:20Z,20,catering,operation_data,IB2201,delayed
,1421,1421,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T19:40:20Z,46,boarding,operation_data,IB2201,delayed
,1422,1422,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T22:26:20Z,43,disembark,operation_data,IB3241,on-time
,1423,1423,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T07:24:20Z,5,cleaning,operation_data,IB3241,on-time
,1424,1424,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T02:33:20Z,19,fueling,operation_data,IB3241,on-time
,1425,1425,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T07:41:20Z,17,baggage,operation_data,IB3241,on-time
,1426,1426,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T17:00:20Z,42,catering,operation_data,IB3241,delayed
,1427,1427,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T18:46:20Z,47,boarding,operation_data,IB3241,on-time
,1428,1428,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T04:26:20Z,23,disembark,operation_data,IB1562,on-time
,1429,1429,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T06:37:20Z,32,cleaning,operation_data,IB1562,on-time
,1430,1430,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T21:21:20Z,31,fueling,operation_data,IB1562,on-time
,1431,1431,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T03:13:20Z,40,baggage,operation_data,IB1562,delayed
,1432,1432,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T19:46:20Z,26,catering,operation_data,IB1562,on-time
,1433,1433,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T04:52:20Z,32,boarding,operation_data,IB1562,on-time
,1434,1434,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T05:09:20Z,13,disembark,operation_data,IB1019,on-time
,1435,1435,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T03:45:20Z,34,cleaning,operation_data,IB1019,delayed
,1436,1436,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T11:21:20Z,33,fueling,operation_data,IB1019,on-time
,1437,1437,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T19:27:20Z,33,baggage,operation_data,IB1019,on-time
,1438,1438,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T23:51:20Z,10,catering,operation_data,IB1019,on-time
,1439,1439,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T17:18:20Z,21,boarding,operation_data,IB1019,delayed
,1440,1440,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T10:01:20Z,9,disembark,operation_data,IB8173,on-time
,1441,1441,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T18:38:20Z,24,cleaning,operation_data,IB8173,on-time
,1442,1442,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T19:58:20Z,48,fueling,operation_data,IB8173,on-time
,1443,1443,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T22:01:20Z,10,baggage,operation_data,IB8173,on-time
,1444,1444,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T23:01:20Z,28,catering,operation_data,IB8173,on-time
,1445,1445,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T19:46:20Z,5,boarding,operation_data,IB8173,delayed
,1446,1446,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T00:20:20Z,45,disembark,operation_data,IB1061,on-time
,1447,1447,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T15:43:20Z,26,cleaning,operation_data,IB1061,on-time
,1448,1448,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T09:39:20Z,20,fueling,operation_data,IB1061,delayed
,1449,1449,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T05:19:20Z,16,baggage,operation_data,IB1061,on-time
,1450,1450,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T18:27:20Z,18,catering,operation_data,IB1061,on-time
,1451,1451,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:10:20Z,48,boarding,operation_data,IB1061,on-time
,1452,1452,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T23:44:20Z,36,disembark,operation_data,IB9609,on-time
,1453,1453,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T13:22:20Z,23,cleaning,operation_data,IB9609,on-time
,1454,1454,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T21:13:20Z,27,fueling,operation_data,IB9609,on-time
,1455,1455,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T08:41:20Z,8,baggage,operation_data,IB9609,on-time
,1456,1456,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T00:44:20Z,8,catering,operation_data,IB9609,on-time
,1457,1457,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T00:37:20Z,15,boarding,operation_data,IB9609,on-time
,1458,1458,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T06:14:20Z,41,disembark,operation_data,IB3721,on-time
,1459,1459,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T06:29:20Z,47,cleaning,operation_data,IB3721,on-time
,1460,1460,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T22:41:20Z,13,fueling,operation_data,IB3721,on-time
,1461,1461,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T07:18:20Z,43,baggage,operation_data,IB3721,on-time
,1462,1462,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T21:48:20Z,50,catering,operation_data,IB3721,delayed
,1463,1463,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T00:49:20Z,9,boarding,operation_data,IB3721,on-time
,1464,1464,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T11:55:20Z,43,disembark,operation_data,IB4531,delayed
,1465,1465,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T01:36:20Z,15,cleaning,operation_data,IB4531,delayed
,1466,1466,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T05:43:20Z,13,fueling,operation_data,IB4531,on-time
,1467,1467,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T21:39:20Z,12,baggage,operation_data,IB4531,on-time
,1468,1468,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T07:58:20Z,27,catering,operation_data,IB4531,delayed
,1469,1469,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-21T02:55:20Z,29,boarding,operation_data,IB4531,on-time
,1470,1470,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T21:05:20Z,32,disembark,operation_data,IB9764,on-time
,1471,1471,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-20T15:26:20Z,25,cleaning,operation_data,IB9764,on-time
