#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,attraction_id,status
,1130,1130,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T21:24:35Z,77,cleaning,maintenance_data,AT584,completed
,1131,1131,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T23:10:35Z,73,safety_check,maintenance_data,AT584,completed
,1132,1132,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T17:00:35Z,43,software_update,maintenance_data,AT584,completed
,1133,1133,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T12:00:35Z,75,lubrication,maintenance_data,AT584,completed
,1134,1134,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T09:48:35Z,15,inspection,maintenance_data,AT763,completed
,1135,1135,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T04:08:35Z,73,repair,maintenance_data,AT763,completed
,1136,1136,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T04:57:35Z,71,cleaning,maintenance_data,AT763,pending
,1137,1137,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T12:36:35Z,63,safety_check,maintenance_data,AT763,completed
,1138,1138,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T08:56:35Z,55,software_update,maintenance_data,AT763,pending
,1139,1139,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T02:14:35Z,17,lubrication,maintenance_data,AT763,completed
,1140,1140,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T11:27:35Z,79,inspection,maintenance_data,AT433,completed
,1141,1141,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T21:26:35Z,59,repair,maintenance_data,AT433,completed
,1142,1142,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T12:37:35Z,60,cleaning,maintenance_data,AT433,pending
,1143,1143,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T20:28:35Z,85,safety_check,maintenance_data,AT433,completed
,1144,1144,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T16:10:35Z,46,software_update,maintenance_data,AT433,completed
,1145,1145,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T20:11:35Z,89,lubrication,maintenance_data,AT433,completed
,1146,1146,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T04:31:35Z,58,inspection,maintenance_data,AT726,completed
,1147,1147,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T22:07:35Z,27,repair,maintenance_data,AT726,pending
,1148,1148,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T15:43:35Z,40,cleaning,maintenance_data,AT726,completed
,1149,1149,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T10:43:35Z,14,safety_check,maintenance_data,AT726,completed
,1150,1150,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T08:53:35Z,85,software_update,maintenance_data,AT726,pending
,1151,1151,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T00:53:35Z,19,lubrication,maintenance_data,AT726,completed
,1152,1152,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T20:10:35Z,89,inspection,maintenance_data,AT702,pending
,1153,1153,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T11:46:35Z,11,repair,maintenance_data,AT702,pending
,1154,1154,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T06:48:35Z,87,cleaning,maintenance_data,AT702,completed
,1155,1155,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T14:23:35Z,55,safety_check,maintenance_data,AT702,completed
,1156,1156,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T18:58:35Z,52,software_update,maintenance_data,AT702,completed
,1157,1157,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T20:19:35Z,54,lubrication,maintenance_data,AT702,completed
,1158,1158,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T10:16:35Z,84,inspection,maintenance_data,AT657,completed
,1159,1159,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T14:45:35Z,74,repair,maintenance_data,AT657,completed
,1160,1160,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T14:36:35Z,70,cleaning,maintenance_data,AT657,completed
,1161,1161,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T02:22:35Z,36,safety_check,maintenance_data,AT657,pending
,1162,1162,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T21:42:35Z,85,software_update,maintenance_data,AT657,pending
,1163,1163,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T22:17:35Z,12,lubrication,maintenance_data,AT657,completed
,1164,1164,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T16:22:35Z,34,inspection,maintenance_data,AT910,completed
,1165,1165,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T21:23:35Z,69,repair,maintenance_data,AT910,pending
,1166,1166,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T16:40:35Z,17,cleaning,maintenance_data,AT910,pending
,1167,1167,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T22:37:35Z,33,safety_check,maintenance_data,AT910,completed
,1168,1168,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T07:59:35Z,62,software_update,maintenance_data,AT910,completed
,1169,1169,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T01:42:35Z,85,lubrication,maintenance_data,AT910,completed
,1170,1170,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T20:42:35Z,27,inspection,maintenance_data,AT330,completed
,1171,1171,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T11:42:35Z,32,repair,maintenance_data,AT330,pending
,1172,1172,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T06:53:35Z,48,cleaning,maintenance_data,AT330,completed
,1173,1173,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T22:12:35Z,55,safety_check,maintenance_data,AT330,completed
,1174,1174,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T14:08:35Z,58,software_update,maintenance_data,AT330,completed
,1175,1175,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T09:53:35Z,76,lubrication,maintenance_data,AT330,pending
,1176,1176,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T10:21:35Z,40,inspection,maintenance_data,AT678,pending
,1177,1177,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T17:56:35Z,60,repair,maintenance_data,AT678,completed
,1178,1178,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T12:15:35Z,16,cleaning,maintenance_data,AT678,completed
,1179,1179,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T19:17:35Z,46,safety_check,maintenance_data,AT678,completed
,1180,1180,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T04:49:35Z,86,software_update,maintenance_data,AT678,completed
,1181,1181,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T09:09:35Z,22,lubrication,maintenance_data,AT678,completed
,1182,1182,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T09:46:35Z,89,inspection,maintenance_data,AT464,pending
,1183,1183,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T22:33:35Z,43,repair,maintenance_data,AT464,completed
,1184,1184,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T03:46:35Z,69,cleaning,maintenance_data,AT464,completed
,1185,1185,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T08:55:35Z,71,safety_check,maintenance_data,AT464,completed
,1186,1186,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T06:25:35Z,72,software_update,maintenance_data,AT464,pending
,1187,1187,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T15:16:35Z,57,lubrication,maintenance_data,AT464,completed
,1188,1188,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T10:34:35Z,65,inspection,maintenance_data,AT327,completed
,1189,1189,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T18:47:35Z,42,repair,maintenance_data,AT327,completed
,1190,1190,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T09:12:35Z,64,cleaning,maintenance_data,AT327,pending
,1191,1191,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T13:13:35Z,19,safety_check,maintenance_data,AT327,completed
,1192,1192,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T16:53:35Z,25,software_update,maintenance_data,AT327,completed
,1193,1193,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T03:19:35Z,67,lubrication,maintenance_data,AT327,completed
,1194,1194,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T02:58:35Z,86,inspection,maintenance_data,AT394,completed
,1195,1195,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T08:08:35Z,40,repair,maintenance_data,AT394,completed
,1196,1196,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T09:39:35Z,22,cleaning,maintenance_data,AT394,completed
,1197,1197,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T04:18:35Z,77,safety_check,maintenance_data,AT394,completed
,1198,1198,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T05:18:35Z,39,software_update,maintenance_data,AT394,completed
,1199,1199,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T13:29:35Z,43,lubrication,maintenance_data,AT394,completed
,1200,1200,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T08:12:35Z,61,inspection,maintenance_data,AT829,pending
,1201,1201,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T09:11:35Z,44,repair,maintenance_data,AT829,completed
,1202,1202,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T02:53:35Z,45,cleaning,maintenance_data,AT829,completed
,1203,1203,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T14:04:35Z,38,safety_check,maintenance_data,AT829,pending
,1204,1204,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T12:12:35Z,61,software_update,maintenance_data,AT829,completed
,1205,1205,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T00:12:35Z,76,lubrication,maintenance_data,AT829,completed
,1206,1206,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T06:18:35Z,76,inspection,maintenance_data,AT536,completed
,1207,1207,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T11:59:35Z,15,repair,maintenance_data,AT536,completed
,1208,1208,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T05:14:35Z,69,cleaning,maintenance_data,AT536,pending
,1209,1209,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T04:08:35Z,58,safety_check,maintenance_data,AT536,completed
,1210,1210,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T17:34:35Z,45,software_update,maintenance_data,AT536,completed
,1211,1211,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T00:56:35Z,36,lubrication,maintenance_data,AT536,completed
,1212,1212,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T17:22:35Z,51,inspection,maintenance_data,AT610,pending
,1213,1213,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T01:00:35Z,55,repair,maintenance_data,AT610,completed
,1214,1214,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T14:55:35Z,89,cleaning,maintenance_data,AT610,completed
,1215,1215,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T06:41:35Z,49,safety_check,maintenance_data,AT610,completed
,1216,1216,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T23:09:35Z,26,software_update,maintenance_data,AT610,completed
,1217,1217,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T23:07:35Z,13,lubrication,maintenance_data,AT610,completed
,1218,1218,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T00:54:35Z,23,inspection,maintenance_data,AT196,completed
,1219,1219,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T17:32:35Z,76,repair,maintenance_data,AT196,completed
,1220,1220,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T05:21:35Z,85,cleaning,maintenance_data,AT196,pending
,1221,1221,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T16:34:35Z,76,safety_check,maintenance_data,AT196,pending
,1222,1222,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T20:56:35Z,63,software_update,maintenance_data,AT196,completed
,1223,1223,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T07:42:35Z,71,lubrication,maintenance_data,AT196,completed
,1224,1224,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T01:08:35Z,48,inspection,maintenance_data,AT378,completed
,1225,1225,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T12:30:35Z,39,repair,maintenance_data,AT378,completed
,1226,1226,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T16:43:35Z,53,cleaning,maintenance_data,AT378,completed
,1227,1227,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T20:35:35Z,29,safety_check,maintenance_data,AT378,pending
,1228,1228,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T07:05:35Z,64,software_update,maintenance_data,AT378,completed
,1229,1229,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T16:20:35Z,62,lubrication,maintenance_data,AT378,pending
,1230,1230,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T16:42:35Z,18,inspection,maintenance_data,AT993,completed
,1231,1231,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T10:55:35Z,63,repair,maintenance_data,AT993,completed
,1232,1232,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T12:28:35Z,43,cleaning,maintenance_data,AT993,completed
,1233,1233,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T13:28:35Z,28,safety_check,maintenance_data,AT993,completed
,1234,1234,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T19:37:35Z,12,software_update,maintenance_data,AT993,completed
,1235,1235,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T06:47:35Z,89,lubrication,maintenance_data,AT993,completed
,1236,1236,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T14:55:35Z,29,inspection,maintenance_data,AT920,completed
,1237,1237,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T17:17:35Z,50,repair,maintenance_data,AT920,completed
,1238,1238,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T09:20:35Z,83,cleaning,maintenance_data,AT920,pending
,1239,1239,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T20:52:35Z,26,safety_check,maintenance_data,AT920,completed
,1240,1240,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T00:51:35Z,79,software_update,maintenance_data,AT920,completed
,1241,1241,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T04:17:35Z,78,lubrication,maintenance_data,AT920,completed
,1242,1242,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T20:47:35Z,52,inspection,maintenance_data,AT158,completed
,1243,1243,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T11:36:35Z,56,repair,maintenance_data,AT158,pending
,1244,1244,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T09:36:35Z,30,cleaning,maintenance_data,AT158,completed
,1245,1245,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T20:34:35Z,39,safety_check,maintenance_data,AT158,completed
,1246,1246,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T21:30:35Z,89,software_update,maintenance_data,AT158,completed
,1247,1247,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T05:12:35Z,50,lubrication,maintenance_data,AT158,completed
,1248,1248,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T17:40:35Z,10,inspection,maintenance_data,AT783,completed
,1249,1249,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T18:54:35Z,87,repair,maintenance_data,AT783,completed
,1250,1250,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T01:20:35Z,89,cleaning,maintenance_data,AT783,completed
,1251,1251,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T12:06:35Z,39,safety_check,maintenance_data,AT783,pending
,1252,1252,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T03:06:35Z,45,software_update,maintenance_data,AT783,completed
,1253,1253,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T06:58:35Z,75,lubrication,maintenance_data,AT783,completed
,1254,1254,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T23:14:35Z,54,inspection,maintenance_data,AT412,completed
,1255,1255,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T23:21:35Z,85,repair,maintenance_data,AT412,completed
,1256,1256,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T13:54:35Z,58,cleaning,maintenance_data,AT412,completed
,1257,1257,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T01:05:35Z,67,safety_check,maintenance_data,AT412,completed
,1258,1258,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T07:58:35Z,45,software_update,maintenance_data,AT412,completed
,1259,1259,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T07:10:35Z,44,lubrication,maintenance_data,AT412,completed
,1260,1260,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T05:23:35Z,15,inspection,maintenance_data,AT587,completed
,1261,1261,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T19:47:35Z,42,repair,maintenance_data,AT587,pending
,1262,1262,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T10:06:35Z,59,cleaning,maintenance_data,AT587,pending
,1263,1263,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T12:57:35Z,84,safety_check,maintenance_data,AT587,completed
,1264,1264,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T07:53:35Z,70,software_update,maintenance_data,AT587,completed
,1265,1265,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T12:38:35Z,14,lubrication,maintenance_data,AT587,completed
,1266,1266,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T02:37:35Z,33,inspection,maintenance_data,AT957,completed
,1267,1267,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T18:08:35Z,21,repair,maintenance_data,AT957,completed
,1268,1268,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T06:51:35Z,25,cleaning,maintenance_data,AT957,completed
,1269,1269,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T23:38:35Z,42,safety_check,maintenance_data,AT957,completed
,1270,1270,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T15:22:35Z,10,software_update,maintenance_data,AT957,completed
,1271,1271,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T23:57:35Z,80,lubrication,maintenance_data,AT957,completed
,1272,1272,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T15:20:35Z,75,inspection,maintenance_data,AT177,pending
,1273,1273,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T01:08:35Z,31,repair,maintenance_data,AT177,completed
,1274,1274,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T00:38:35Z,32,cleaning,maintenance_data,AT177,pending
,1275,1275,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T21:02:35Z,42,safety_check,maintenance_data,AT177,pending
,1276,1276,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T12:33:35Z,70,software_update,maintenance_data,AT177,completed
,1277,1277,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T04:38:35Z,58,lubrication,maintenance_data,AT177,completed
,1278,1278,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T09:41:35Z,35,inspection,maintenance_data,AT480,completed
,1279,1279,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T23:13:35Z,86,repair,maintenance_data,AT480,completed
,1280,1280,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T09:08:35Z,52,cleaning,maintenance_data,AT480,completed
,1281,1281,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T01:25:35Z,23,safety_check,maintenance_data,AT480,completed
,1282,1282,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T02:19:35Z,74,software_update,maintenance_data,AT480,completed
,1283,1283,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T03:17:35Z,78,lubrication,maintenance_data,AT480,completed
,1284,1284,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T16:12:35Z,19,inspection,maintenance_data,AT454,completed
,1285,1285,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-21T00:26:35Z,12,repair,maintenance_data,AT454,pending
,1286,1286,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T20:54:35Z,75,cleaning,maintenance_data,AT454,completed
,1287,1287,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T21:12:35Z,29,safety_check,maintenance_data,AT454,pending
,1288,1288,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T12:07:35Z,19,software_update,maintenance_data,AT454,pending
,1289,1289,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T05:30:35Z,29,lubrication,maintenance_data,AT454,pending
,1290,1290,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T06:18:35Z,52,inspection,maintenance_data,AT406,completed
,1291,1291,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T16:52:35Z,56,repair,maintenance_data,AT406,pending
,1292,1292,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T23:53:35Z,88,cleaning,maintenance_data,AT406,completed
,1293,1293,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T19:06:35Z,76,safety_check,maintenance_data,AT406,completed
,1294,1294,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T05:33:35Z,68,software_update,maintenance_data,AT406,completed
,1295,1295,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T05:48:35Z,24,lubrication,maintenance_data,AT406,completed
,1296,1296,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T09:17:35Z,33,inspection,maintenance_data,AT306,completed
,1297,1297,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T19:35:35Z,67,repair,maintenance_data,AT306,pending
,1298,1298,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T05:15:35Z,32,cleaning,maintenance_data,AT306,completed
,1299,1299,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T04:30:35Z,51,safety_check,maintenance_data,AT306,pending
,1300,1300,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T17:48:35Z,40,software_update,maintenance_data,AT306,completed
,1301,1301,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T05:11:35Z,45,lubrication,maintenance_data,AT306,completed
,1302,1302,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T17:09:35Z,28,inspection,maintenance_data,AT244,completed
,1303,1303,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T10:27:35Z,28,repair,maintenance_data,AT244,completed
,1304,1304,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T22:55:35Z,53,cleaning,maintenance_data,AT244,pending
,1305,1305,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T09:58:35Z,25,safety_check,maintenance_data,AT244,completed
,1306,1306,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T04:05:35Z,53,software_update,maintenance_data,AT244,completed
,1307,1307,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T14:07:35Z,83,lubrication,maintenance_data,AT244,completed
,1308,1308,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T01:12:35Z,24,inspection,maintenance_data,AT752,completed
,1309,1309,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T10:54:35Z,62,repair,maintenance_data,AT752,completed
,1310,1310,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T11:23:35Z,86,cleaning,maintenance_data,AT752,pending
,1311,1311,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T19:42:35Z,55,safety_check,maintenance_data,AT752,completed
,1312,1312,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T12:20:35Z,49,software_update,maintenance_data,AT752,completed
,1313,1313,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T10:43:35Z,50,lubrication,maintenance_data,AT752,pending
,1314,1314,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T18:52:35Z,78,inspection,maintenance_data,AT436,completed
,1315,1315,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-20T01:47:35Z,71,repair,maintenance_data,AT436,pending
